bin,total_avg,avg_elapsed,total_sum,total_min,total_max,eval_set,total_cases
v001_sample,465843,0.080000,46584300,80059,1190220,all,100
v002_prefix_first,1150041,5.050000,115004100,47,3600006,all,100
v002_prefix_first,1070482,1.420000,107048161,57,3600013,all,100
v101pro_token_beam_solver,284056,0.190000,28405597,65,2980011,all,100
v101pro_token_beam_solver,284056,0.180000,28405597,65,2980011,all,100
v002_prefix_first,764758,1.160000,76475797,95,3600013,all,100
v002_prefix_first,165962,0.110000,16596248,95,1564928,all,100
v002_probe_log,165962,0.100000,16596248,95,1564928,all,100
v002_probe_log,165962,0.050000,16596248,95,1564928,all,100
v003_core_simple,165962,0.080000,16596248,95,1564928,all,100
v003_core_simple,165962,0.060000,16596248,95,1564928,all,100
v004_safe_first,156795,0.080000,15679524,57,1880512,all,100
v102pro_full_exact_prefix_solver,170642,0.720000,17064234,52,1800117,all,100
v005_color_goal,912480,0.180000,91247991,51,3140122,all,100
v005_color_goal,96976,0.190000,9697649,51,2082221,all,100
v006codex_anytime,128615,0.590000,12861518,51,1520164,all,100
v103_pro_combined_exact_solver,45267,0.780000,4526687,50,1300608,all,100
v103_pro_combined_exact_solver,87125,0.760000,8712504,50,1640812,all,100
v103_pro_combined_exact_solver,59697,0.770000,5969682,50,1300608,all,100
v103_pro_combined_exact_solver,50210,879.550000,5020963,50,1300608,all,100
v103_pro_combined_exact_solver,44279,0.855040,4427859,50,1300608,all,100
v104_pro_incremental_opt,50784,0.870490,5078441,50,1300608,all,100
v104_pro_incremental_opt,32534,0.842830,3253366,50,340632,all,100
v104_pro_incremental_opt,72090,0.763420,7209014,56,1640726,all,100
v104_pro_incremental_opt,73463,0.756000,7346333,56,1640726,all,100
v104_pro_incremental_opt,33932,0.853040,3393181,50,402626,all,100
v104_pro_incremental_opt,36505,0.863100,3650507,50,581753,all,100
v104_pro_incremental_opt,34912,0.866370,3491193,50,422439,all,100
v104_pro_incremental_opt,68064,0.921660,6806405,50,1063175,all,100
v104_pro_incremental_opt,68936,1.024270,6893634,50,1640812,all,100
v104_pro_incremental_opt,123751,1.138470,12375112,50,3120277,all,100
v103_pro_combined_exact_solver,52389,0.873170,5238936,50,1300608,all,100
v104_pro_incremental_opt,30547,0.830140,3054663,50,340632,all,100
v105_pro_throughput_verified,34714,0.861180,3471439,50,422439,all,100
v104_pro_incremental_opt,29550,0.774770,2955023,50,340632,all,100
v106_pro_inner_timecheck,29747,0.789840,2974713,50,340632,all,100
v106_pro_inner_timecheck,29352,0.774070,2935187,50,340632,all,100
v106_pro_inner_timecheck,30946,0.791660,3094641,50,340632,all,100
v104_pro_incremental_opt,29550,0.789950,2955023,50,340632,all,100
v104_pro_incremental_opt,44279,0.796490,4427888,50,1300608,all,100
v111pro_combined_exact_solver_v3,65285,0.951900,6528483,48,845388,all,100
v112pro_v104_direct_rescue,30750,0.734470,3074951,50,340632,all,100
v113pro_v3_incremental_stage,50804,0.956910,5080435,48,645811,all,100
v107_pro_rescue_stage,29352,0.704910,2935170,50,340632,all,100
v108_pro_endgame_first,6544,0.285300,654399,79,220681,all,100
v121_pro_hybrid_endgame,13295,0.539460,1329527,65,340632,all,100
v001_sample,465843,0.046020,46584300,80059,1190220,all,100
v101pro_token_beam_solver,284056,0.184060,28405597,65,2980011,all,100
v003_core_simple,165962,0.071400,16596248,95,1564928,all,100
v004_safe_first,156795,0.045700,15679524,57,1880512,all,100
v005_color_goal,96976,0.181990,9697649,51,2082221,all,100
v104_pro_incremental_opt,29550,0.730240,2955023,50,340632,all,100
v107_pro_rescue_stage,29353,0.709350,2935322,50,340632,all,100
v108_pro_endgame_first,6152,0.287980,615182,79,220681,all,100
v109_pro_suffix_opt,7095,0.696940,709537,60,220681,all,100
v122_empty_gate_rescue,5943,0.924220,594287,60,168682,all,100
v122_empty_gate_rescue,5286,0.752040,528615,60,168682,all,100
v101pro_token_beam_solver,284056,0.206860,28405597,65,2980011,all,100
v102pro_full_exact_prefix_solver,170642,0.721920,17064234,52,1800117,all,100
v103_pro_combined_exact_solver,50440,0.810490,5044046,50,1040935,all,100
v122_empty_gate_rescue,5282,0.752150,528183,60,187621,all,100
v123pro_merge005and122,28132,0.806180,2813205,41,622820,all,100
v051_segment_creation,947542,1.580130,94754182,50,3660000,all,100
v051_segment_creation,1315800,1.385180,131580000,220000,3660000,all,100
v051_segment_creation,1195146,1.670060,119514557,141,3530438,all,100
v052pro_segment_creation,96978,0.252630,9697811,91,2082221,all,100
v124_faster123,118213,1.131330,11821330,41,1860129,all,100
v124_faster123,282968,1.591100,28296778,41,2260694,all,100
v125_faster123,287188,1.833440,28718833,41,2020407,all,100
v125_faster123,93878,1.096630,9387805,41,1640234,all,100
v125_faster123,197624,1.431480,19762425,41,1980770,all,100
v125_faster123,87118,1.097300,8711843,41,1660157,all,100
v125_faster123,114685,1.115570,11468481,43,2400171,all,100
v125_faster123,306392,1.499960,30639222,41,2380399,all,100
v125_faster123,256694,1.425190,25669363,41,1900757,all,100
v124_faster123,180872,1.504150,18087233,41,1980770,all,100
v124_faster123,131187,1.397650,13118721,47,1660183,all,100
v124_faster123,150908,1.698510,15090753,47,1662205,all,100
v124_faster123,112878,1.467140,11287801,47,1640234,all,100
v126pro_faster123,133382,1.222240,13338195,47,1940582,all,100
v124_faster123,48835,1.309280,4883476,47,1101917,all,100
v124_faster123,21217,1.034990,2121740,47,1101917,all,100
v127_apply_undo,68764,1.357880,6876437,47,1101917,all,100
v127_apply_undo,65971,1.326240,6597132,47,1320627,all,100
v128_u8_cell,173807,1.413690,17380672,41,2020599,all,100
v128_u8_cell,212571,1.538640,21257099,41,1980770,all,100
v128_u8_cell,195053,1.403890,19505327,41,1980770,all,100
v128_u8_cell,171272,1.307610,17127234,41,1640380,all,100
v128_u8_cell,173451,1.359370,17345094,41,1741148,all,100
v128_u8_cell,107638,1.361820,10763844,41,1640380,all,100
v123pro_merge005and122,151726,1.255850,15172608,41,1640380,all,100
v001_sample,465843,0.079220,46584300,80059,1190220,all,100
v101pro_token_beam_solver,284056,0.337140,28405597,65,2980011,all,100
v003_core_simple,165962,0.127140,16596248,95,1564928,all,100
v004_safe_first,156795,0.085900,15679524,57,1880512,all,100
v005_color_goal,96976,0.366680,9697649,51,2082221,all,100
v104_pro_incremental_opt,93897,0.899020,9389741,50,2003207,all,100
v107_pro_rescue_stage,112222,0.952000,11222230,50,2063110,all,100
v108_pro_endgame_first,159802,0.849180,15980166,79,3140220,all,100
v109_pro_suffix_opt,87182,1.041630,8718209,60,3120277,all,100
v122_empty_gate_rescue,84806,1.044250,8480584,60,3120277,all,100
v102pro_full_exact_prefix_solver,226693,1.010200,22669266,52,3340151,all,100
v103_pro_combined_exact_solver,154710,1.081090,15470959,50,3140220,all,100
v123pro_merge005and122,150131,1.223470,15013071,41,1640380,all,100
