bin,total_avg,avg_elapsed,max_elapsed,total_sum,total_min,total_max,eval_set,total_cases
v001_baseline,1000000,37,466,100000000,1000000,1000000,all,100
v002_copy_parts,2110123,116,637,211012272,1577309,2966614,all,100
v003_baseline,1882199,184,516,188219902,1385611,3527738,all,100
v004_beam_parts,2168907,109,587,216890682,1581131,2870205,all,100
v004_beam_parts,2222470,127,472,222246979,1581131,2966614,all,100
v004_beam_parts,2258377,245,623,225837654,1641046,2966614,all,100
v005_multi_seen_beam,2258231,224,419,225823134,1641046,2966614,all,100
v006_repair_beam,2391058,310,825,239105802,1745427,3317111,all,100
v006_repair_beam,2424555,591,1136,242455523,1878159,3088040,in,100
v006_repair_beam,2455826,783,2031,122791296,1316766,4678072,inB,50
v001_baseline,1000000,684,684,1000000,1000000,1000000,inB,1
v001_baseline,1000000,315,315,1000000,1000000,1000000,in,1
v006_repair_beam,2455826,675,1970,122791296,1316766,4678072,inB,50
v007_multilayer_prep_beam,2289308,790,2163,228930773,1000000,3127841,in,100
v007_multilayer_prep_beam,2320245,945,2069,116012261,1000000,5642448,inB,50
v007_multilayer_prep_beam,2305967,763,2799,230596680,1000000,3127841,in,100
v007_multilayer_prep_beam,2320245,867,1960,116012261,1000000,5642448,inB,50
v101_hill_v1,2603215,2176,2896,260321510,2011098,3771663,in,100
v101_hill_v1,2807796,2206,2937,140389802,1740417,5000000,inB,50
v101_hill_v1,2593615,1618,2603,259361451,2005256,3771663,in,100
v101_hill_v1,2795335,1577,1590,139766773,1731804,5000000,inB,50
v101_hill_v1,2591381,1972,2526,259138101,1935149,3771663,in,100
v101_hill_v1,2787797,1952,1990,139389848,1731804,5000000,inB,50
v008_sa_patterns,2226518,1962,2335,222651812,1380763,2846921,in,100
v008_sa_patterns,2266891,1951,1967,113344563,1263034,4678072,inB,50
v101_hill_v1,2501865,1853,2461,250186548,1945757,3254929,in,100
v101_hill_v1,2662113,1829,1848,133105627,1740417,4678072,inB,50
v101_hill_v1,2518908,2893,2893,2518908,2518908,2518908,v101_eval_single,1
v101_hill_v1,2518908,2717,2717,2518908,2518908,2518908,v101_eval_single,1
v102_sa_patterns,2428306,2895,2895,2428306,2428306,2428306,v102_eval_single,1
v102_sa_patterns,2400719,1843,2260,240071922,1938381,3107803,in,100
v102_sa_patterns,2502146,1829,1844,125107317,1718980,4678072,inB,50
v103_sa_fastbuild,2637171,2724,2724,2637171,2637171,2637171,v103_eval_single,1
v103_sa_fastbuild,2483578,1849,2272,248357818,1979166,3138520,in,100
v103_sa_fastbuild,2608171,1833,1841,130408535,1702057,4678072,inB,50
v201pro_sa,2522349,1888,3355,252234932,1919382,3299028,in,100
v201pro_sa,2659086,1829,1847,132954293,1392802,4679949,inB,50
v104_sa_cap4,2666465,2575,2575,2666465,2666465,2666465,v104_eval_single,1
v104_sa_cap4,2582512,1861,2375,258251244,2016679,3480432,in,100
v104_sa_cap4,2699638,1862,2027,134981876,1588846,4678072,inB,50
v201pro_sa,2524482,1829,2336,252448150,1929874,3254929,in,100
v201pro_sa,2506290,1852,3011,250629001,1908965,3179188,in,100
v201pro_sa,2525102,1832,2584,252510221,1961817,3287712,in,100
v201pro_sa,2516576,1841,3191,251657604,1972624,3299028,in,100
v106_sa_seedscan,2719207,2973,2973,2719207,2719207,2719207,v106_eval_single,1
v106_sa_seedscan,2503597,1971,2445,250359670,1919382,3149747,in,100
v106_sa_seedscan,2601818,2041,2869,130090915,1681178,4642448,inB,50
v106_sa_seedscan,2546226,1936,2902,254622553,2000000,3127841,in_serial,100
v107_sa_slotbias,2814364,2827,2827,2814364,2814364,2814364,v107_eval_single,1
v107_sa_slotbias,2571580,1842,3103,257157959,1935149,3380822,in,100
v107_sa_slotbias,2720721,1845,2241,136036066,1620296,4678072,inB,50
v120_final,2526307,1946,2318,252630727,2000000,3149747,in,100
v120_final,2476093,3700,13384,123804633,1685329,4590609,inB,50
