bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001_baseline,13471,1347072,13256,13683,8,40,tools/in,100,,2026-05-23T15:07:32+09:00
v002_baseline_stack,13378,1337805,13110,13879,1807,1814,tools/in,100,,2026-05-23T15:17:15+09:00
v003_stack_total_dp,15197,1519670,15152,15249,1807,1812,tools/in,100,,2026-05-23T15:30:17+09:00
v004_stack_immediate,15200,1519964,15159,15267,1807,1811,tools/in,100,,2026-05-23T15:43:32+09:00
v005_quadrant_stack_dp,15132,1513151,15079,15195,1808,1815,tools/in,100,,2026-05-23T15:48:55+09:00
v006_route_sa,15178,1517750,15127,15247,1808,1846,tools/in,100,,2026-05-23T23:12:26+09:00
v007_stack_schedule,15196,1519631,15151,15254,1808,1817,tools/in,100,,2026-05-23T23:19:04+09:00
v008_stack_schedule_delta,15196,1519606,15155,15257,1807,1819,tools/in,100,,2026-05-23T23:24:14+09:00
v008_stack_schedule_delta,15196,1519633,15154,15262,1807,1815,tools/in,100,,2026-05-23T23:26:06+09:00
v009_stack_immediate_delta,15200,1519975,15158,15260,1807,1812,tools/in,100,,2026-05-23T23:32:23+09:00
v009_stack_immediate_delta,15200,1520009,15153,15251,1807,1814,tools/in,100,,2026-05-23T23:37:36+09:00
v010_route_sa_dp_repair,15200,1519983,15149,15254,1807,1815,tools/in,100,,2026-05-24T00:07:46+09:00
v011_stack_total_dp_2opt_relocate,15196,1519639,15150,15251,1810,1817,tools/in,100,ratio_2opt60_reloc40,2026-05-24T17:52:25+09:00
v901_greedy_from_null,10,952,0,24,27,30,tools/in,100,greedy_from_null,2026-05-26T21:43:45+09:00
v901_greedy_from_null,15178,1517798,15112,15235,149,265,tools/in,100,greedy_from_null,2026-05-26T21:50:16+09:00
v901_greedy_from_null,15178,1517798,15112,15235,37,54,tools/in,100,greedy_from_null_scoped_best,2026-05-26T21:51:45+09:00
v902_greedy_shuffle,15245,1524530,15204,15308,1806,1812,tools/in,100,greedy_shuffle,2026-05-27T00:19:14+09:00
v903_order_swap_sa,15297,1529663,15254,15366,1807,1811,tools/in,100,order_swap_sa,2026-05-27T00:25:20+09:00
v904_order_swap_sa_delta,15301,1530071,15243,15354,1808,1813,tools/in,100,order_swap_sa_delta,2026-05-27T00:30:31+09:00
v905_order_mixed_sa_delta,15292,1529232,15249,15349,1808,1813,tools/in,100,order_mixed_50_35_15,2026-05-27T00:38:03+09:00
v905_order_mixed_sa_delta,15298,1529790,15247,15358,1807,1813,tools/in,100,order_mixed_20_60_20,2026-05-27T00:40:55+09:00
v905_order_mixed_sa_delta,15300,1529998,15245,15374,1808,1814,tools/in,100,order_mixed_0_60_40,2026-05-27T00:44:00+09:00
