bin,total_avg,avg_elapsed,total_sum,total_min,total_max,eval_set,total_cases
v001_template,0.000000,1.000000,0,0,0,single,1
v001_template,0.000000,0.000000,0,0,0,results_out/v001_template,1
v001_template,0.000000,0.000000,0,0,0,single,1
v001,19201.000000,0.000000,19201,19201,19201,single,1
v001,0.000000,0.000000,0,0,0,results_out/v001,1
v001,18968.770000,0.000000,1896877,17013,20825,results_out/v001,100
v002_greedy_only,18417.970000,0.000000,1841797,16678,20227,results_out/v002_greedy_only,100
v003,19319.800000,0.000000,1931980,17117,21777,results_out/v003,100
v003,19308.650000,0.000000,1930865,17117,21777,results_out/v003,100
v011_hill_climb,19414.440000,0.040000,1941444,17159,21222,results_out/v011_hill_climb,100
v011_hill_climb_r20_a60_b20,19418.740000,0.040000,1941874,17129,21478,all,100
v021_simulated_annealing,19907.620000,0.000000,1990762,18262,21515,results_out/v021_simulated_annealing,100
01_nearest_neighbor_answer,11102.520000,0.000000,1110252,9606,13144,results_out/01_nearest_neighbor_answer,100
02_hill_climbing_answer,14187.280000,0.040000,1418728,12974,16756,results_out/02_hill_climbing_answer,100
03_simulated_annealing_answer,14971.460000,0.000000,1497146,13866,17271,results_out/03_simulated_annealing_answer,100
v101_sa_dist_matrix,20347.120000,0.040000,2034712,18854,22523,results_out/v101_sa_dist_matrix,100
v102_center90_greedy_sa,20332.010000,0.000000,2033201,18832,21988,results_out/v102_center90_greedy_sa,100
v103_multi_start9_sa,20248.910000,0.040000,2024891,18804,22036,results_out/v103_multi_start9_sa,100
v104_random3_start_sa,20347.080000,0.040000,2034708,18748,21949,results_out/v104_random3_start_sa,100
v105_guided_replace_sa,20394.260000,0.040000,2039426,18699,22202,results_out/v105_guided_replace_sa,100
v106_linear_insert_guided_sa,21472.310000,0.040000,2147231,20000,23159,results_out/v106_linear_insert_guided_sa,100
v107_candidates200_fulltime_sa,21607.740000,0.000000,2160774,20317,23245,results_out/v107_candidates200_fulltime_sa,100
v108_no_initial_filter_sa,21517.180000,0.000000,2151718,19786,22989,results_out/v108_no_initial_filter_sa,100
